League,Club,Player,Position,Date of Birth,Age,Market Value
LaLiga,Atlético Madrid,Ángel Correa,Right Winger,"Mar 9, 1995",24,35000000.0
LaLiga,Atlético Madrid,Antoine Griezmann,Centre-Forward,"Mar 21, 1991",28,150000000.0
LaLiga,Atlético Madrid,Álvaro Morata,Centre-Forward,"Oct 23, 1992",26,50000000.0
LaLiga,Atlético Madrid,Diego Costa,Centre-Forward,"Oct 7, 1988",30,40000000.0
LaLiga,Atlético Madrid,Nikola Kalinic,Centre-Forward,"Jan 5, 1988",31,14000000.0
LaLiga,Atlético Madrid,Borja Garcés,Centre-Forward,"Aug 6, 1999",19,3000000.0
LaLiga,Valencia CF,Neto,Goalkeeper,"Jul 19, 1989",29,18000000.0
LaLiga,Valencia CF,Jaume Doménech,Goalkeeper,"Nov 5, 1990",28,2500000.0
LaLiga,Valencia CF,Gabriel Paulista,Centre-Back,"Nov 26, 1990",28,20000000.0
LaLiga,Valencia CF,Mouctar Diakhaby,Centre-Back,"Dec 19, 1996",22,15000000.0
LaLiga,Valencia CF,Ezequiel Garay,Centre-Back,"Oct 10, 1986",32,9000000.0
LaLiga,Valencia CF,Facundo Roncaglia,Centre-Back,"Feb 10, 1987",32,2500000.0
LaLiga,Valencia CF,José Gayà,Left-Back,"May 25, 1995",23,40000000.0
LaLiga,Valencia CF,Toni Lato,Left-Back,"Nov 21, 1997",21,5000000.0
LaLiga,Valencia CF,Cristiano Piccini,Right-Back,"Sep 26, 1992",26,7500000.0
LaLiga,Valencia CF,Francis Coquelin,Defensive Midfield,"May 13, 1991",27,15000000.0
LaLiga,Valencia CF,Geoffrey Kondogbia,Central Midfield,"Feb 15, 1993",26,25000000.0
LaLiga,Valencia CF,Dani Parejo,Central Midfield,"Apr 16, 1989",29,20000000.0
LaLiga,Valencia CF,Daniel Wass,Central Midfield,"May 31, 1989",29,10000000.0
LaLiga,Valencia CF,Carlos Soler,Right Midfield,"Jan 2, 1997",22,35000000.0
LaLiga,Valencia CF,Kang-in Lee,Attacking Midfield,"Feb 19, 2001",18,7500000.0
LaLiga,Valencia CF,Gonçalo Guedes,Left Winger,"Nov 29, 1996",22,30000000.0
LaLiga,Valencia CF,Denis Cheryshev,Left Winger,"Dec 26, 1990",28,7000000.0
LaLiga,Valencia CF,Ferran Torres,Right Winger,"Feb 29, 2000",19,12000000.0
LaLiga,Valencia CF,Rodrigo,Centre-Forward,"Mar 6, 1991",28,30000000.0
LaLiga,Valencia CF,Santi Mina,Centre-Forward,"Dec 7, 1995",23,25000000.0
LaLiga,Valencia CF,Kévin Gameiro,Centre-Forward,"May 9, 1987",31,12000000.0
LaLiga,Valencia CF,Rubén Sobrino,Centre-Forward,"Jun 1, 1992",26,5000000.0
LaLiga,Sevilla FC,Tomas Vaclik,Goalkeeper,"Mar 29, 1989",30,18000000.0
LaLiga,Sevilla FC,Juan Soriano,Goalkeeper,"Aug 23, 1997",21,1000000.0
LaLiga,Sevilla FC,Sergi Gómez,Centre-Back,"Mar 28, 1992",27,10000000.0
LaLiga,Sevilla FC,Simon Kjær,Centre-Back,"Mar 26, 1989",30,10000000.0
LaLiga,Sevilla FC,Maximilian Wöber,Centre-Back,"Feb 4, 1998",21,10000000.0
LaLiga,Sevilla FC,Joris Gnagnon,Centre-Back,"Jan 13, 1997",22,7500000.0
LaLiga,Sevilla FC,Daniel Carriço,Centre-Back,"Aug 4, 1988",30,3000000.0
LaLiga,Sevilla FC,Gabriel Mercado,Centre-Back,"Mar 18, 1987",32,3000000.0
LaLiga,Sevilla FC,Sergio Escudero,Left-Back,"Sep 2, 1989",29,7500000.0
LaLiga,Sevilla FC,Guilherme Arana,Left-Back,"Apr 14, 1997",21,3000000.0
LaLiga,Sevilla FC,Ibrahim Amadou,Defensive Midfield,"Apr 6, 1993",26,7500000.0
LaLiga,Sevilla FC,Maxime Gonalons,Defensive Midfield,"Mar 10, 1989",30,5000000.0
LaLiga,Sevilla FC,Éver Banega,Central Midfield,"Jun 29, 1988",30,20000000.0
LaLiga,Sevilla FC,Marko Rog,Central Midfield,"Jul 19, 1995",23,8000000.0
LaLiga,Sevilla FC,Roque Mesa,Central Midfield,"Jun 7, 1989",29,7000000.0
LaLiga,Sevilla FC,Aleix Vidal,Right Midfield,"Aug 21, 1989",29,5000000.0
LaLiga,Sevilla FC,Jesús Navas,Right Midfield,"Nov 21, 1985",33,4000000.0
LaLiga,Sevilla FC,Pablo Sarabia,Attacking Midfield,"May 11, 1992",26,40000000.0
LaLiga,Sevilla FC,Franco Vázquez,Attacking Midfield,"Feb 22, 1989",30,14000000.0
LaLiga,Sevilla FC,Quincy Promes,Left Winger,"Jan 4, 1992",27,18000000.0
LaLiga,Sevilla FC,Nolito,Left Winger,"Oct 15, 1986",32,3000000.0
LaLiga,Sevilla FC,Wissam Ben Yedder,Centre-Forward,"Aug 12, 1990",28,35000000.0
LaLiga,Sevilla FC,André Silva,Centre-Forward,"Nov 6, 1995",23,35000000.0
LaLiga,Sevilla FC,Munir El Haddadi,Centre-Forward,"Sep 1, 1995",23,9000000.0
LaLiga,Real Betis Balompié,Pau López,Goalkeeper,"Dec 13, 1994",24,20000000.0
LaLiga,Real Betis Balompié,Joel Robles,Goalkeeper,"Jun 17, 1990",28,3500000.0
LaLiga,Real Betis Balompié,Marc Bartra,Centre-Back,"Jan 15, 1991",28,22000000.0
LaLiga,Real Betis Balompié,Aïssa Mandi,Centre-Back,"Oct 22, 1991",27,14000000.0
LaLiga,Real Betis Balompié,Sidnei,Centre-Back,"Aug 23, 1989",29,9000000.0
LaLiga,Real Betis Balompié,Zouhair Feddal,Centre-Back,"Dec 23, 1989",29,2000000.0
LaLiga,Real Betis Balompié,Júnior Firpo,Left-Back,"Aug 22, 1996",22,25000000.0
LaLiga,Real Betis Balompié,Francis Guerrero,Right-Back,"Mar 11, 1996",23,7500000.0
LaLiga,Real Betis Balompié,Emerson,Right-Back,"Jan 14, 1999",20,6000000.0
LaLiga,Real Betis Balompié,Antonio Barragán,Right-Back,"Jun 12, 1987",31,2000000.0
LaLiga,Real Betis Balompié,William Carvalho,Defensive Midfield,"Apr 7, 1992",27,25000000.0
LaLiga,Real Betis Balompié,Javi García,Defensive Midfield,"Feb 8, 1987",32,2500000.0
LaLiga,Real Betis Balompié,Giovani Lo Celso,Central Midfield,"Apr 9, 1996",23,40000000.0
LaLiga,Real Betis Balompié,Andrés Guardado,Central Midfield,"Sep 28, 1986",32,5000000.0
LaLiga,Real Betis Balompié,Wilfrid Kaptoum,Central Midfield,"Jul 7, 1996",22,1000000.0
LaLiga,Real Betis Balompié,Sergio Canales,Attacking Midfield,"Feb 16, 1991",28,15000000.0
LaLiga,Real Betis Balompié,Diego Lainez,Left Winger,"Jun 9, 2000",18,14000000.0
LaLiga,Real Betis Balompié,Cristian Tello,Left Winger,"Aug 11, 1991",27,6000000.0
LaLiga,Real Betis Balompié,Jesé,Left Winger,"Feb 26, 1993",26,5000000.0
LaLiga,Real Betis Balompié,Joaquín,Right Winger,"Jul 21, 1981",37,500000.0
LaLiga,Real Betis Balompié,Loren Morón,Centre-Forward,"Dec 30, 1993",25,15000000.0
LaLiga,Real Betis Balompié,Sergio León,Centre-Forward,"Jan 6, 1989",30,3000000.0
LaLiga,Real Sociedad,Gerónimo Rulli,Goalkeeper,"May 20, 1992",26,7500000.0
LaLiga,Real Sociedad,Miguel Ángel Moyà,Goalkeeper,"Apr 2, 1984",35,2000000.0
LaLiga,Real Sociedad,Diego Llorente,Centre-Back,"Aug 16, 1993",25,17500000.0
LaLiga,Real Sociedad,Aritz Elustondo,Centre-Back,"Mar 28, 1994",25,7500000.0
LaLiga,Real Sociedad,Héctor Moreno,Centre-Back,"Jan 17, 1988",31,6000000.0
LaLiga,Real Sociedad,Raúl Navas,Centre-Back,"May 11, 1988",30,3500000.0
LaLiga,Real Sociedad,Robin Le Normand,Centre-Back,"Nov 11, 1996",22,1500000.0
LaLiga,Real Sociedad,Theo Hernández,Left-Back,"Oct 6, 1997",21,15000000.0
LaLiga,Real Sociedad,Kévin Rodrigues,Left-Back,"Mar 5, 1994",25,5000000.0
LaLiga,Real Sociedad,Joseba Zaldua,Right-Back,"Jun 24, 1992",26,5000000.0
LaLiga,Real Sociedad,Andoni Gorosabel,Right-Back,"Aug 4, 1996",22,2500000.0
LaLiga,Real Sociedad,Asier Illarramendi,Defensive Midfield,"Mar 8, 1990",29,25000000.0
LaLiga,Real Sociedad,Igor Zubeldia,Defensive Midfield,"Mar 30, 1997",22,20000000.0
LaLiga,Real Sociedad,Mikel Merino,Defensive Midfield,"Jun 22, 1996",22,10000000.0
LaLiga,Real Sociedad,David Zurutuza,Central Midfield,"Jul 19, 1986",32,3000000.0
LaLiga,Real Sociedad,Rubén Pardo,Central Midfield,"Oct 22, 1992",26,2500000.0
LaLiga,Real Sociedad,Luca Sangalli,Attacking Midfield,"Feb 10, 1995",24,2500000.0
LaLiga,Real Sociedad,Mikel Oyarzabal,Left Winger,"Apr 21, 1997",21,40000000.0
LaLiga,Real Sociedad,Martín Merquelanz,Left Winger,"Jun 12, 1995",23,500000.0
LaLiga,Real Sociedad,Adnan Januzaj,Right Winger,"Feb 5, 1995",24,15000000.0
LaLiga,Real Sociedad,Juanmi,Right Winger,"May 20, 1993",25,6000000.0
LaLiga,Real Sociedad,Willian José,Centre-Forward,"Nov 23, 1991",27,25000000.0
LaLiga,Real Sociedad,Sandro Ramírez,Centre-Forward,"Jul 9, 1995",23,6000000.0
LaLiga,Real Sociedad,Jon Bautista,Centre-Forward,"Jul 3, 1995",23,2000000.0
LaLiga,Celta de Vigo,Rubén Blanco,Goalkeeper,"Jul 25, 1995",23,3000000.0
LaLiga,Celta de Vigo,Sergio Álvarez,Goalkeeper,"Aug 3, 1986",32,2000000.0
LaLiga,Celta de Vigo,Wesley Hoedt,Centre-Back,"Mar 6, 1994",25,15000000.0
LaLiga,Celta de Vigo,Néstor Araujo,Centre-Back,"Aug 29, 1991",27,7000000.0
LaLiga,Celta de Vigo,David Costas,Centre-Back,"Mar 26, 1995",24,3000000.0
LaLiga,Celta de Vigo,Gustavo Cabral,Centre-Back,"Oct 14, 1985",33,1500000.0
LaLiga,Celta de Vigo,Lucas Olaza,Left-Back,"Jul 21, 1994",24,3500000.0
LaLiga,Celta de Vigo,David Juncà,Left-Back,"Nov 16, 1993",25,1500000.0
LaLiga,Celta de Vigo,Hugo Mallo,Right-Back,"Jun 22, 1991",27,15000000.0
LaLiga,Celta de Vigo,Kevin Vázquez,Right-Back,"Mar 23, 1993",26,500000.0
LaLiga,Celta de Vigo,Stanislav Lobotka,Defensive Midfield,"Nov 25, 1994",24,25000000.0
LaLiga,Celta de Vigo,Okay Yokuslu,Defensive Midfield,"Mar 9, 1994",25,10000000.0
LaLiga,Celta de Vigo,Nemanja Radoja,Defensive Midfield,"Feb 6, 1993",26,3000000.0
LaLiga,Celta de Vigo,Fran Beltrán,Central Midfield,"Feb 3, 1999",20,18000000.0
LaLiga,Celta de Vigo,Mathias Jensen,Central Midfield,"Jan 1, 1996",23,2500000.0
LaLiga,Celta de Vigo,Jozabed Sánchez,Central Midfield,"Mar 8, 1991",28,2000000.0
LaLiga,Celta de Vigo,Sofiane Boufal,Attacking Midfield,"Sep 17, 1993",25,12000000.0
LaLiga,Celta de Vigo,Ryad Boudebouz,Attacking Midfield,"Feb 19, 1990",29,6000000.0
LaLiga,Celta de Vigo,Pione Sisto,Left Winger,"Feb 4, 1995",24,10000000.0
LaLiga,Celta de Vigo,Emre Mor,Left Winger,"Jul 24, 1997",21,3000000.0
LaLiga,Celta de Vigo,Brais Méndez,Right Winger,"Jan 7, 1997",22,20000000.0
LaLiga,Celta de Vigo,Andrew Hjulsager,Right Winger,"Jan 15, 1995",24,1200000.0
LaLiga,Celta de Vigo,Maximiliano Gómez,Centre-Forward,"Aug 14, 1996",22,35000000.0
LaLiga,Celta de Vigo,Iago Aspas,Centre-Forward,"Aug 1, 1987",31,20000000.0
LaLiga,Athletic Bilbao,Unai Simón,Goalkeeper,"Jun 11, 1997",21,6000000.0
LaLiga,Athletic Bilbao,Iago Herrerín,Goalkeeper,"Jan 25, 1988",31,4000000.0
LaLiga,Athletic Bilbao,Alex Remiro,Goalkeeper,"Mar 24, 1995",24,1000000.0
LaLiga,Athletic Bilbao,Iñigo Martínez,Centre-Back,"May 17, 1991",27,32000000.0
LaLiga,Athletic Bilbao,Yeray Álvarez,Centre-Back,"Jan 24, 1995",24,15000000.0
LaLiga,Athletic Bilbao,Unai Núñez,Centre-Back,"Jan 30, 1997",22,10000000.0
LaLiga,Athletic Bilbao,Peru Nolaskoain,Centre-Back,"Oct 25, 1998",20,5000000.0
LaLiga,Athletic Bilbao,Yuri Berchiche,Left-Back,"Feb 10, 1990",29,20000000.0
LaLiga,Athletic Bilbao,Mikel Balenziaga,Left-Back,"Feb 29, 1988",31,3000000.0
LaLiga,Athletic Bilbao,Óscar de Marcos,Right-Back,"Apr 14, 1989",29,6000000.0
LaLiga,Athletic Bilbao,Iñigo Lekue,Right-Back,"May 4, 1993",25,4000000.0
LaLiga,Athletic Bilbao,Ander Capa,Right-Back,"Feb 8, 1992",27,3000000.0
LaLiga,Athletic Bilbao,Mikel San José,Defensive Midfield,"May 30, 1989",29,7500000.0
LaLiga,Athletic Bilbao,Ander Iturraspe,Defensive Midfield,"Mar 8, 1989",30,3000000.0
LaLiga,Athletic Bilbao,Beñat Etxebarria,Central Midfield,"Feb 19, 1987",32,4000000.0
LaLiga,Athletic Bilbao,Dani García,Central Midfield,"May 24, 1990",28,4000000.0
LaLiga,Athletic Bilbao,Mikel Rico,Central Midfield,"Nov 4, 1984",34,1000000.0
LaLiga,Athletic Bilbao,Raúl García,Attacking Midfield,"Jul 11, 1986",32,6000000.0
LaLiga,Athletic Bilbao,Unai López,Attacking Midfield,"Oct 30, 1995",23,2000000.0
LaLiga,Athletic Bilbao,Iker Muniain,Left Winger,"Dec 19, 1992",26,10000000.0
LaLiga,Athletic Bilbao,Iñigo Córdoba,Left Winger,"Mar 13, 1997",22,4000000.0
LaLiga,Athletic Bilbao,Markel Susaeta,Right Winger,"Dec 14, 1987",31,7500000.0
LaLiga,Athletic Bilbao,Ibai Gómez,Right Winger,"Nov 11, 1989",29,4000000.0
LaLiga,Athletic Bilbao,Iñaki Williams,Centre-Forward,"Jun 15, 1994",24,30000000.0
LaLiga,Athletic Bilbao,Aritz Aduriz,Centre-Forward,"Feb 11, 1981",38,1000000.0
LaLiga,Athletic Bilbao,Kenan Kodro,Centre-Forward,"Aug 19, 1993",25,900000.0
LaLiga,Athletic Bilbao,Gorka Guruzeta,Centre-Forward,"Sep 12, 1996",22,800000.0
LaLiga,Villarreal CF,Sergio Asenjo,Goalkeeper,"Jun 28, 1989",29,12000000.0
LaLiga,Villarreal CF,Andrés Fernández,Goalkeeper,"Dec 17, 1986",32,800000.0
LaLiga,Villarreal CF,Mariano Barbosa,Goalkeeper,"Jul 27, 1984",34,400000.0
LaLiga,Villarreal CF,Álvaro González,Centre-Back,"Jan 8, 1990",29,8000000.0
LaLiga,Villarreal CF,Ramiro Funes Mori,Centre-Back,"Mar 5, 1991",28,8000000.0
LaLiga,Villarreal CF,Víctor Ruiz,Centre-Back,"Jan 25, 1989",30,8000000.0
LaLiga,Villarreal CF,Daniele Bonera,Centre-Back,"May 31, 1981",37,200000.0
LaLiga,Villarreal CF,Alfonso Pedraza,Left-Back,"Apr 9, 1996",23,15000000.0
LaLiga,Villarreal CF,Jaume Costa,Left-Back,"Mar 18, 1988",31,6000000.0
LaLiga,Villarreal CF,Mario Gaspar,Right-Back,"Nov 24, 1990",28,10000000.0
LaLiga,Villarreal CF,Miguelón,Right-Back,"Jan 18, 1996",23,1000000.0
LaLiga,Villarreal CF,Santiago Cáseres,Defensive Midfield,"Feb 25, 1997",22,10000000.0
LaLiga,Villarreal CF,Vicente Iborra,Defensive Midfield,"Jan 16, 1988",31,9000000.0
LaLiga,Villarreal CF,Javi Fuego,Defensive Midfield,"Jan 4, 1984",35,800000.0
LaLiga,Villarreal CF,Bruno Soriano,Defensive Midfield,"Jun 12, 1984",34,800000.0
LaLiga,Villarreal CF,Manu Trigueros,Central Midfield,"Oct 17, 1991",27,20000000.0
LaLiga,Villarreal CF,Santi Cazorla,Central Midfield,"Dec 13, 1984",34,2500000.0
LaLiga,Villarreal CF,Manu Morlanes,Central Midfield,"Jan 12, 1999",20,1500000.0
LaLiga,Villarreal CF,Pablo Fornals,Attacking Midfield,"Feb 22, 1996",23,30000000.0
LaLiga,Villarreal CF,Samuel Chukwueze,Right Winger,"May 22, 1999",19,10000000.0
LaLiga,Villarreal CF,Daniel Raba,Right Winger,"Oct 29, 1995",23,2000000.0
LaLiga,Villarreal CF,Gerard Moreno,Centre-Forward,"Apr 7, 1992",27,17500000.0
LaLiga,Villarreal CF,Karl Toko Ekambi,Centre-Forward,"Sep 14, 1992",26,14000000.0
LaLiga,Villarreal CF,Carlos Bacca,Centre-Forward,"Sep 8, 1986",32,5000000.0
LaLiga,RCD Espanyol Barcelona,Roberto,Goalkeeper,"Feb 10, 1986",33,1500000.0
LaLiga,RCD Espanyol Barcelona,Diego López,Goalkeeper,"Nov 3, 1981",37,500000.0
LaLiga,RCD Espanyol Barcelona,Mario Hermoso,Centre-Back,"Jun 18, 1995",23,20000000.0
LaLiga,RCD Espanyol Barcelona,David López,Centre-Back,"Oct 9, 1989",29,12000000.0
LaLiga,RCD Espanyol Barcelona,Naldo,Centre-Back,"Aug 25, 1988",30,1000000.0
LaLiga,RCD Espanyol Barcelona,Óscar Duarte,Centre-Back,"Jun 3, 1989",29,1000000.0
LaLiga,RCD Espanyol Barcelona,Lluis López,Centre-Back,"Mar 5, 1997",22,300000.0
LaLiga,RCD Espanyol Barcelona,Dídac Vilà,Left-Back,"Jun 9, 1989",29,5000000.0
LaLiga,RCD Espanyol Barcelona,Roberto Rosales,Right-Back,"Nov 20, 1988",30,2500000.0
LaLiga,RCD Espanyol Barcelona,Javi López,Right-Back,"Jan 21, 1986",33,1000000.0
LaLiga,RCD Espanyol Barcelona,Marc Roca,Defensive Midfield,"Nov 26, 1996",22,20000000.0
LaLiga,RCD Espanyol Barcelona,Alfa Semedo,Defensive Midfield,"Aug 30, 1997",21,4000000.0
LaLiga,RCD Espanyol Barcelona,Sergi Darder,Central Midfield,"Dec 22, 1993",25,10000000.0
LaLiga,RCD Espanyol Barcelona,Víctor Sánchez,Central Midfield,"Sep 8, 1987",31,2000000.0
LaLiga,RCD Espanyol Barcelona,Esteban Granero,Central Midfield,"Jul 2, 1987",31,2000000.0
LaLiga,RCD Espanyol Barcelona,Álex López,Central Midfield,"Jun 2, 1997",21,400000.0
LaLiga,RCD Espanyol Barcelona,Oscar Melendo,Attacking Midfield,"Aug 23, 1997",21,3000000.0
LaLiga,RCD Espanyol Barcelona,Lei Wu,Left Winger,"Nov 19, 1991",27,5000000.0
LaLiga,RCD Espanyol Barcelona,Pablo Piatti,Left Winger,"Mar 31, 1989",30,4000000.0
LaLiga,RCD Espanyol Barcelona,Javi Puado,Left Winger,"May 25, 1998",20,600000.0
LaLiga,RCD Espanyol Barcelona,Hernán Pérez,Right Winger,"Feb 25, 1989",30,1500000.0
LaLiga,RCD Espanyol Barcelona,Borja Iglesias,Centre-Forward,"Jan 17, 1993",26,20000000.0
LaLiga,RCD Espanyol Barcelona,Facundo Ferreyra,Centre-Forward,"Mar 14, 1991",28,6000000.0
LaLiga,RCD Espanyol Barcelona,Sergio García,Centre-Forward,"Jun 9, 1983",35,1000000.0
LaLiga,Girona FC,Bono,Goalkeeper,"Apr 5, 1991",28,10000000.0
LaLiga,Girona FC,Gorka Iraizoz,Goalkeeper,"Mar 6, 1981",38,200000.0
LaLiga,Girona FC,Juanpe,Centre-Back,"Apr 30, 1991",27,7500000.0
LaLiga,Girona FC,Bernardo Espinosa,Centre-Back,"Jul 11, 1989",29,7000000.0
LaLiga,Girona FC,Jonás Ramalho,Centre-Back,"Jun 10, 1993",25,4000000.0
LaLiga,Girona FC,Marc Muniesa,Centre-Back,"Mar 27, 1992",27,3500000.0
LaLiga,Girona FC,Pedro Alcalá,Centre-Back,"Mar 19, 1989",30,800000.0
LaLiga,Girona FC,Johan Mojica,Left-Back,"Aug 21, 1992",26,4000000.0
LaLiga,Girona FC,Aday,Left-Back,"Dec 16, 1987",31,1800000.0
LaLiga,Girona FC,Raúl García,Left-Back,"Apr 30, 1989",29,1000000.0
LaLiga,Girona FC,Carles Planas,Left-Back,"Mar 4, 1991",28,800000.0
LaLiga,Girona FC,Pedro Porro,Right-Back,"Sep 13, 1999",19,10000000.0
LaLiga,Girona FC,Pere Pons,Defensive Midfield,"Feb 20, 1993",26,7500000.0
LaLiga,Girona FC,Aleix García,Defensive Midfield,"Jun 28, 1997",21,2000000.0
LaLiga,Girona FC,Álex Granell,Central Midfield,"Aug 2, 1988",30,7500000.0
LaLiga,Girona FC,Douglas Luiz,Central Midfield,"May 9, 1998",20,2500000.0
LaLiga,Girona FC,Portu,Attacking Midfield,"May 21, 1992",26,10000000.0
LaLiga,Girona FC,Borja García,Attacking Midfield,"Nov 2, 1990",28,8000000.0
LaLiga,Girona FC,Patrick Roberts,Right Winger,"Feb 5, 1997",22,5000000.0
LaLiga,Girona FC,Valery Fernández,Right Winger,"Nov 23, 1999",19,300000.0
LaLiga,Girona FC,Cristhian Stuani,Centre-Forward,"Oct 12, 1986",32,10000000.0
LaLiga,Girona FC,Anthony Lozano,Centre-Forward,"Apr 25, 1993",25,2000000.0
LaLiga,Girona FC,Seydou Doumbia,Centre-Forward,"Dec 31, 1987",31,1800000.0
LaLiga,CD Leganés,Andrii Lunin,Goalkeeper,"Feb 11, 1999",20,5000000.0
LaLiga,CD Leganés,Iván Cuéllar,Goalkeeper,"May 25, 1984",34,600000.0
LaLiga,CD Leganés,Andrés Prieto,Goalkeeper,"Oct 17, 1993",25,300000.0
LaLiga,CD Leganés,Dimitrios Siovas,Centre-Back,"Sep 16, 1988",30,6000000.0
LaLiga,CD Leganés,Kenneth Omeruo,Centre-Back,"Oct 17, 1993",25,5000000.0
LaLiga,CD Leganés,Unai Bustinza,Centre-Back,"Feb 2, 1992",27,4000000.0
LaLiga,CD Leganés,Diego Reyes,Centre-Back,"Sep 19, 1992",26,3000000.0
LaLiga,CD Leganés,Rodrigo Tarín,Centre-Back,"Jul 5, 1996",22,1000000.0
LaLiga,CD Leganés,Ezequiel Muñoz,Centre-Back,"Oct 8, 1990",28,1000000.0
LaLiga,CD Leganés,Jonathan Silva,Left-Back,"Jun 29, 1994",24,3000000.0
LaLiga,CD Leganés,Vasyl Kravets,Left-Back,"Aug 20, 1997",21,2500000.0
LaLiga,CD Leganés,Allan Nyom,Right-Back,"May 10, 1988",30,3500000.0
LaLiga,CD Leganés,Juanfran,Right-Back,"Sep 11, 1988",30,2500000.0
LaLiga,CD Leganés,Rubén Pérez,Defensive Midfield,"Apr 26, 1989",29,7500000.0
LaLiga,CD Leganés,Mikel Vesga,Defensive Midfield,"Apr 8, 1993",26,3000000.0
LaLiga,CD Leganés,Gerard Gumbau,Central Midfield,"Dec 18, 1994",24,2500000.0
LaLiga,CD Leganés,Recio,Central Midfield,"Jan 11, 1991",28,1500000.0
LaLiga,CD Leganés,Óscar Rodríguez,Attacking Midfield,"Jun 28, 1998",20,6000000.0
LaLiga,CD Leganés,Javi Eraso,Attacking Midfield,"Mar 22, 1990",29,2000000.0
LaLiga,CD Leganés,José Manuel Arnáiz,Left Winger,"Apr 15, 1995",23,3000000.0
LaLiga,CD Leganés,Alexander Szymanowski,Left Winger,"Oct 13, 1988",30,1800000.0
LaLiga,CD Leganés,Sabin Merino,Left Winger,"Jan 4, 1992",27,1200000.0
LaLiga,CD Leganés,Nabil El Zhar,Right Winger,"Aug 27, 1986",32,2000000.0
LaLiga,CD Leganés,Guido Carrillo,Centre-Forward,"May 25, 1991",27,10000000.0
LaLiga,CD Leganés,Youssef En-Nesyri,Centre-Forward,"Jun 1, 1997",21,10000000.0
LaLiga,CD Leganés,Martin Braithwaite,Centre-Forward,"Jun 5, 1991",27,8000000.0
LaLiga,CD Leganés,Michael Santos,Centre-Forward,"Mar 13, 1993",26,2000000.0
LaLiga,Getafe CF,David Soria,Goalkeeper,"Apr 4, 1993",26,10000000.0
LaLiga,Getafe CF,Leandro Chichizola,Goalkeeper,"Mar 27, 1990",29,1000000.0
LaLiga,Getafe CF,Rubén Yáñez,Goalkeeper,"Oct 12, 1993",25,300000.0
LaLiga,Getafe CF,Djené,Centre-Back,"Dec 31, 1991",27,15000000.0
LaLiga,Getafe CF,Ignasi Miquel,Centre-Back,"Sep 28, 1992",26,3000000.0
LaLiga,Getafe CF,Bruno González,Centre-Back,"May 24, 1990",28,2000000.0
LaLiga,Getafe CF,Leandro Cabrera,Centre-Back,"Jun 17, 1991",27,2000000.0
LaLiga,Getafe CF,Vitorino Antunes,Left-Back,"Apr 1, 1987",32,3000000.0
LaLiga,Getafe CF,Mathí­as Olivera,Left-Back,"Oct 31, 1997",21,800000.0
LaLiga,Getafe CF,Damián Suárez,Right-Back,"Apr 27, 1988",30,3500000.0
LaLiga,Getafe CF,Dimitri Foulquier,Right-Back,"Mar 23, 1993",26,3500000.0
LaLiga,Getafe CF,Markel Bergara,Defensive Midfield,"May 5, 1986",32,1000000.0
LaLiga,Getafe CF,Mathieu Flamini,Defensive Midfield,"Mar 7, 1984",35,600000.0
LaLiga,Getafe CF,Mauro Arambarri,Central Midfield,"Sep 30, 1995",23,10000000.0
LaLiga,Getafe CF,Nemanja Maksimovic,Central Midfield,"Jan 26, 1995",24,10000000.0
LaLiga,Getafe CF,Gaku Shibasaki,Central Midfield,"May 28, 1992",26,2500000.0
LaLiga,Getafe CF,Sebastián Cristóforo,Central Midfield,"Aug 23, 1993",25,1800000.0
LaLiga,Getafe CF,Samu Sáiz,Attacking Midfield,"Jan 22, 1991",28,2500000.0
LaLiga,Getafe CF,Francisco Portillo,Attacking Midfield,"Jun 13, 1990",28,2000000.0
LaLiga,Getafe CF,Amath Ndiaye,Left Winger,"Jul 16, 1996",22,5000000.0
LaLiga,Getafe CF,Jaime Mata,Centre-Forward,"Oct 24, 1988",30,10000000.0
LaLiga,Getafe CF,Ángel Rodríguez,Centre-Forward,"Apr 26, 1987",31,3000000.0
LaLiga,Getafe CF,Jorge Molina,Centre-Forward,"Apr 22, 1982",36,1000000.0
LaLiga,Deportivo Alavés,Fernando Pacheco,Goalkeeper,"May 18, 1992",26,18000000.0
LaLiga,Deportivo Alavés,Antonio Sivera,Goalkeeper,"Aug 11, 1996",22,1000000.0
LaLiga,Deportivo Alavés,Guillermo Maripán,Centre-Back,"May 6, 1994",24,7500000.0
LaLiga,Deportivo Alavés,Víctor Laguardia,Centre-Back,"Nov 5, 1989",29,7000000.0
LaLiga,Deportivo Alavés,Ximo Navarro,Centre-Back,"Jan 23, 1990",29,3000000.0
LaLiga,Deportivo Alavés,Rodrigo Ely,Centre-Back,"Nov 3, 1993",25,2000000.0
LaLiga,Deportivo Alavés,Rubén Duarte,Left-Back,"Oct 18, 1995",23,4000000.0
LaLiga,Deportivo Alavés,Adrián Marín,Left-Back,"Jan 9, 1997",22,800000.0
LaLiga,Deportivo Alavés,Martin Aguirregabiria,Right-Back,"May 10, 1996",22,7500000.0
LaLiga,Deportivo Alavés,Carlos Vigaray,Right-Back,"Sep 7, 1994",24,600000.0
LaLiga,Deportivo Alavés,Manu García,Defensive Midfield,"Apr 26, 1986",32,1800000.0
LaLiga,Deportivo Alavés,Darko Brasanac,Central Midfield,"Feb 12, 1992",27,2000000.0
LaLiga,Deportivo Alavés,Tomás Pina,Central Midfield,"Oct 14, 1987",31,1800000.0
